run_name,architecture,activation,optimizer,seq_len,grad_clipping,epoch,split,loss,accuracy,precision,recall,f1,epoch_time_sec
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,1,train,0.5833,0.6808,0.6825,0.6808,0.6801,13.21
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,1,test,0.4808,0.7677,0.7677,0.7677,0.7677,13.21
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,2,train,0.4232,0.8158,0.8158,0.8158,0.8158,17.68
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,2,test,0.4348,0.7930,0.8024,0.7930,0.7913,17.68
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,3,train,0.3376,0.8602,0.8602,0.8602,0.8602,14.96
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,3,test,0.4219,0.8116,0.8117,0.8116,0.8116,14.96
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,4,train,0.2649,0.8968,0.8969,0.8968,0.8968,21.21
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,4,test,0.4661,0.8144,0.8148,0.8144,0.8144,21.21
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,5,train,0.2015,0.9237,0.9237,0.9237,0.9237,16.36
lstm_relu_adam_L50_clip,lstm,relu,adam,50,True,5,test,0.4794,0.8133,0.8133,0.8133,0.8133,16.36
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,1,train,0.6550,0.6059,0.6061,0.6059,0.6058,24.91
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,1,test,0.6643,0.6273,0.6711,0.6273,0.6018,24.91
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,2,train,0.5706,0.7170,0.7172,0.7170,0.7169,29.59
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,2,test,0.5596,0.7150,0.7178,0.7150,0.7141,29.59
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,3,train,0.5105,0.7649,0.7650,0.7649,0.7649,23.18
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,3,test,0.5235,0.7539,0.7539,0.7539,0.7539,23.18
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,4,train,0.4679,0.7921,0.7921,0.7921,0.7921,18.34
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,4,test,0.5065,0.7596,0.7613,0.7596,0.7592,18.34
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,5,train,0.4258,0.8195,0.8196,0.8195,0.8195,13.39
rnn_relu_adam_L50_clip,rnn,relu,adam,50,True,5,test,0.5199,0.7622,0.7644,0.7622,0.7618,13.39
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,1,train,0.5849,0.6779,0.6795,0.6779,0.6772,37.93
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,1,test,0.4840,0.7656,0.7708,0.7656,0.7645,37.93
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,2,train,0.4276,0.8117,0.8117,0.8117,0.8117,36.98
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,2,test,0.4275,0.7978,0.8015,0.7978,0.7972,36.98
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,3,train,0.3388,0.8603,0.8603,0.8603,0.8603,24.18
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,3,test,0.4249,0.8092,0.8099,0.8092,0.8091,24.18
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,4,train,0.2659,0.8950,0.8950,0.8950,0.8950,23.75
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,4,test,0.4640,0.8129,0.8143,0.8129,0.8127,23.75
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,5,train,0.2067,0.9232,0.9232,0.9232,0.9232,23.95
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,5,test,0.4988,0.8114,0.8116,0.8114,0.8113,23.95
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,1,train,0.5849,0.6779,0.6795,0.6779,0.6772,19.45
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,1,test,0.4840,0.7656,0.7708,0.7656,0.7645,19.45
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,2,train,0.4276,0.8117,0.8117,0.8117,0.8117,22.71
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,2,test,0.4275,0.7978,0.8015,0.7978,0.7972,22.71
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,3,train,0.3388,0.8603,0.8603,0.8603,0.8603,21.86
bilstm_relu_adam_L50_clip,bilstm,relu,adam,50,True,3,test,0.4249,0.8092,0.8099,0.8092,0.8091,21.86
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,1,train,0.5937,0.6673,0.6693,0.6673,0.6663,9.41
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,1,test,0.5211,0.7378,0.7383,0.7378,0.7376,9.41
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,2,train,0.4542,0.7866,0.7866,0.7866,0.7866,8.46
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,2,test,0.4735,0.7604,0.7636,0.7604,0.7597,8.46
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,3,train,0.3720,0.8366,0.8366,0.8366,0.8366,8.49
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,3,test,0.4699,0.7725,0.7726,0.7725,0.7725,8.49
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,4,train,0.2995,0.8763,0.8763,0.8763,0.8763,9.01
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,4,test,0.5027,0.7742,0.7744,0.7742,0.7741,9.01
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,5,train,0.2268,0.9096,0.9096,0.9096,0.9096,8.65
lstm_relu_adam_L25_clip,lstm,relu,adam,25,True,5,test,0.5874,0.7713,0.7718,0.7713,0.7712,8.65
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,1,train,0.6144,0.6595,0.6618,0.6595,0.6583,18.87
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,1,test,0.5531,0.7148,0.7412,0.7148,0.7068,18.87
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,2,train,0.4700,0.7930,0.7932,0.7930,0.7930,18.44
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,2,test,0.4273,0.8156,0.8170,0.8156,0.8154,18.44
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,3,train,0.3695,0.8522,0.8522,0.8522,0.8522,15.58
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,3,test,0.3860,0.8378,0.8382,0.8378,0.8377,15.58
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,4,train,0.3053,0.8806,0.8807,0.8806,0.8806,16.12
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,4,test,0.4133,0.8325,0.8353,0.8325,0.8322,16.12
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,5,train,0.2459,0.9075,0.9075,0.9075,0.9075,16.58
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,5,test,0.4225,0.8419,0.8454,0.8419,0.8415,16.58
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,1,train,0.6144,0.6595,0.6618,0.6595,0.6583,17.40
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,1,test,0.5531,0.7148,0.7412,0.7148,0.7068,17.40
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,2,train,0.4700,0.7930,0.7932,0.7930,0.7930,17.26
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,2,test,0.4273,0.8156,0.8170,0.8156,0.8154,17.26
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,3,train,0.3695,0.8522,0.8522,0.8522,0.8522,17.30
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,3,test,0.3860,0.8378,0.8382,0.8378,0.8377,17.30
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,4,train,0.3053,0.8806,0.8807,0.8806,0.8806,16.08
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,4,test,0.4133,0.8325,0.8353,0.8325,0.8322,16.08
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,5,train,0.2459,0.9075,0.9075,0.9075,0.9075,15.09
lstm_relu_adam_L100_clip,lstm,relu,adam,100,True,5,test,0.4225,0.8419,0.8454,0.8419,0.8415,15.09
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,1,train,0.6937,0.4992,0.4991,0.4992,0.4823,9.55
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,1,test,0.6931,0.5035,0.5037,0.5035,0.4982,9.55
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,2,train,0.6933,0.4987,0.4987,0.4987,0.4983,9.26
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,2,test,0.6930,0.5177,0.5201,0.5177,0.5030,9.26
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,3,train,0.6932,0.5034,0.5034,0.5034,0.5033,8.77
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,3,test,0.6928,0.5194,0.5235,0.5194,0.4977,8.77
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,4,train,0.6929,0.5061,0.5061,0.5061,0.5051,9.32
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,4,test,0.6927,0.5292,0.5319,0.5292,0.5191,9.32
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,5,train,0.6928,0.5106,0.5107,0.5106,0.5095,9.08
lstm_relu_sgd_L50_clip,lstm,relu,sgd,50,True,5,test,0.6925,0.5220,0.5273,0.5220,0.4975,9.08
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,1,train,0.5833,0.6808,0.6825,0.6808,0.6801,10.90
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,1,test,0.4808,0.7677,0.7677,0.7677,0.7677,10.90
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,2,train,0.4232,0.8157,0.8157,0.8157,0.8157,11.56
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,2,test,0.4329,0.7942,0.8026,0.7942,0.7928,11.56
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,3,train,0.3396,0.8579,0.8580,0.8579,0.8579,10.03
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,3,test,0.4226,0.8110,0.8117,0.8110,0.8109,10.03
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,4,train,0.2687,0.8963,0.8963,0.8963,0.8963,10.88
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,4,test,0.4555,0.8172,0.8172,0.8172,0.8172,10.88
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,5,train,0.2032,0.9246,0.9247,0.9246,0.9246,13.08
lstm_relu_adam_L50_noclip,lstm,relu,adam,50,False,5,test,0.4850,0.8150,0.8151,0.8150,0.8150,13.08
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,1,train,0.5705,0.6956,0.6956,0.6956,0.6956,11.71
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,1,test,0.4886,0.7630,0.7633,0.7630,0.7630,11.71
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,2,train,0.4164,0.8167,0.8167,0.8167,0.8167,10.73
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,2,test,0.4309,0.8045,0.8051,0.8045,0.8044,10.73
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,3,train,0.3314,0.8604,0.8604,0.8604,0.8604,10.43
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,3,test,0.4455,0.8099,0.8107,0.8099,0.8098,10.43
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,4,train,0.2800,0.8881,0.8881,0.8881,0.8881,10.85
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,4,test,0.4814,0.8005,0.8005,0.8005,0.8005,10.85
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,5,train,0.2068,0.9241,0.9241,0.9241,0.9241,10.56
lstm_tanh_adam_L50_noclip,lstm,tanh,adam,50,False,5,test,0.5039,0.8114,0.8118,0.8114,0.8114,10.56
